T	PC	instr.	A	D	R0/SP	R1/LCL	R2/ARG	R3/THIS	R4/THAT
0	0	000017	0	0	0	0	0	0	0
1	1	165207	15	0	0	0	0	0	0
2	15	000025	15	0	0	0	0	0	0
3	16	166020	21	0	0	0	0	0	0
4	17	000003	21	21	0	0	0	0	0
5	18	161410	3	21	0	0	0	0	0
6	19	000002	3	21	0	0	0	21	0
7	20	165207	2	21	0	0	0	21	0
8	2	070001	2	21	0	0	0	21	0
9	3	167710	28673	21	0	0	0	21	0
10	4	070001	28673	21	0	0	0	21	0
11	5	176020	28673	21	0	0	0	21	0
12	6	000004	28673	0	0	0	0	21	0
13	7	161403	4	0	0	0	0	21	0
14	4	070001	4	0	0	0	0	21	0
15	5	176020	28673	0	0	0	0	21	0
16	6	000004	28673	0	0	0	0	21	0
17	7	161403	4	0	0	0	0	21	0
18	4	070001	4	0	0	0	0	21	0
19	5	176020	28673	0	0	0	0	21	0
20	6	000004	28673	0	0	0	0	21	0
21	7	161403	4	0	0	0	0	21	0
22	4	070001	4	0	0	0	0	21	0
23	5	176020	28673	0	0	0	0	21	0
24	6	000004	28673	0	0	0	0	21	0
25	7	161403	4	0	0	0	0	21	0
26	4	070001	4	0	0	0	0	21	0
27	5	176020	28673	0	0	0	0	21	0
28	6	000004	28673	0	0	0	0	21	0
29	7	161403	4	0	0	0	0	21	0
30	4	070001	4	0	0	0	0	21	0
31	5	176020	28673	0	0	0	0	21	0
32	6	000004	28673	0	0	0	0	21	0
33	7	161403	4	0	0	0	0	21	0
34	4	070001	4	0	0	0	0	21	0
35	5	176020	28673	0	0	0	0	21	0
36	6	000004	28673	0	0	0	0	21	0
37	7	161403	4	0	0	0	0	21	0
38	4	070001	4	0	0	0	0	21	0
39	5	176020	28673	0	0	0	0	21	0
40	6	000004	28673	0	0	0	0	21	0
41	7	161403	4	0	0	0	0	21	0
42	4	070001	4	0	0	0	0	21	0
43	5	176020	28673	0	0	0	0	21	0
44	6	000004	28673	0	0	0	0	21	0
45	7	161403	4	0	0	0	0	21	0
46	4	070001	4	0	0	0	0	21	0
47	5	176020	28673	0	0	0	0	21	0
48	6	000004	28673	0	0	0	0	21	0
49	7	161403	4	0	0	0	0	21	0
50	4	070001	4	0	0	0	0	21	0
51	5	176020	28673	0	0	0	0	21	0
52	6	000004	28673	0	0	0	0	21	0
53	7	161403	4	0	0	0	0	21	0
54	4	070001	4	0	0	0	0	21	0
55	5	176020	28673	0	0	0	0	21	0
56	6	000004	28673	0	0	0	0	21	0
57	7	161403	4	0	0	0	0	21	0
58	4	070001	4	0	0	0	0	21	0
59	5	176020	28673	0	0	0	0	21	0
60	6	000004	28673	0	0	0	0	21	0
61	7	161403	4	0	0	0	0	21	0
62	4	070001	4	0	0	0	0	21	0
63	5	176020	28673	0	0	0	0	21	0
64	6	000004	28673	0	0	0	0	21	0
65	7	161403	4	0	0	0	0	21	0
66	4	070001	4	0	0	0	0	21	0
67	5	176020	28673	0	0	0	0	21	0
68	6	000004	28673	0	0	0	0	21	0
69	7	161403	4	0	0	0	0	21	0
70	4	070001	4	0	0	0	0	21	0
71	5	176020	28673	0	0	0	0	21	0
72	6	000004	28673	0	0	0	0	21	0
73	7	161403	4	0	0	0	0	21	0
74	4	070001	4	0	0	0	0	21	0
75	5	176020	28673	0	0	0	0	21	0
76	6	000004	28673	0	0	0	0	21	0
77	7	161403	4	0	0	0	0	21	0
78	4	070001	4	0	0	0	0	21	0
79	5	176020	28673	0	0	0	0	21	0
80	6	000004	28673	0	0	0	0	21	0
81	7	161403	4	0	0	0	0	21	0
82	4	070001	4	0	0	0	0	21	0
83	5	176020	28673	0	0	0	0	21	0
84	6	000004	28673	0	0	0	0	21	0
85	7	161403	4	0	0	0	0	21	0
86	4	070001	4	0	0	0	0	21	0
87	5	176020	28673	0	0	0	0	21	0
88	6	000004	28673	0	0	0	0	21	0
89	7	161403	4	0	0	0	0	21	0
90	4	070001	4	0	0	0	0	21	0
91	5	176020	28673	0	0	0	0	21	0
92	6	000004	28673	0	0	0	0	21	0
93	7	161403	4	0	0	0	0	21	0
94	4	070001	4	0	0	0	0	21	0
95	5	176020	28673	0	0	0	0	21	0
96	6	000004	28673	0	0	0	0	21	0
97	7	161403	4	0	0	0	0	21	0
98	4	070001	4	0	0	0	0	21	0
99	5	176020	28673	0	0	0	0	21	0
100	6	000004	28673	0	0	0	0	21	0
101	7	161403	4	0	0	0	0	21	0
102	4	070001	4	0	0	0	0	21	0
103	5	176020	28673	0	0	0	0	21	0
104	6	000004	28673	0	0	0	0	21	0
105	7	161403	4	0	0	0	0	21	0
106	4	070001	4	0	0	0	0	21	0
107	5	176020	28673	0	0	0	0	21	0
108	6	000004	28673	0	0	0	0	21	0
109	7	161403	4	0	0	0	0	21	0
110	4	070001	4	0	0	0	0	21	0
111	5	176020	28673	0	0	0	0	21	0
112	6	000004	28673	0	0	0	0	21	0
113	7	161403	4	0	0	0	0	21	0
114	4	070001	4	0	0	0	0	21	0
115	5	176020	28673	0	0	0	0	21	0
116	6	000004	28673	0	0	0	0	21	0
117	7	161403	4	0	0	0	0	21	0
118	4	070001	4	0	0	0	0	21	0
119	5	176020	28673	0	0	0	0	21	0
120	6	000004	28673	0	0	0	0	21	0
121	7	161403	4	0	0	0	0	21	0
122	4	070001	4	0	0	0	0	21	0
123	5	176020	28673	0	0	0	0	21	0
124	6	000004	28673	0	0	0	0	21	0
125	7	161403	4	0	0	0	0	21	0
126	4	070001	4	0	0	0	0	21	0
127	5	176020	28673	0	0	0	0	21	0
128	6	000004	28673	0	0	0	0	21	0
129	7	161403	4	0	0	0	0	21	0
130	4	070001	4	0	0	0	0	21	0
131	5	176020	28673	0	0	0	0	21	0
132	6	000004	28673	0	0	0	0	21	0
133	7	161403	4	0	0	0	0	21	0
134	4	070001	4	0	0	0	0	21	0
135	5	176020	28673	0	0	0	0	21	0
136	6	000004	28673	0	0	0	0	21	0
137	7	161403	4	0	0	0	0	21	0
138	4	070001	4	0	0	0	0	21	0
139	5	176020	28673	0	0	0	0	21	0
140	6	000004	28673	0	0	0	0	21	0
141	7	161403	4	0	0	0	0	21	0
142	4	070001	4	0	0	0	0	21	0
143	5	176020	28673	0	0	0	0	21	0
144	6	000004	28673	0	0	0	0	21	0
145	7	161403	4	0	0	0	0	21	0
146	4	070001	4	0	0	0	0	21	0
147	5	176020	28673	0	0	0	0	21	0
148	6	000004	28673	0	0	0	0	21	0
149	7	161403	4	0	0	0	0	21	0
150	4	070001	4	0	0	0	0	21	0
151	5	176020	28673	0	0	0	0	21	0
152	6	000004	28673	0	0	0	0	21	0
153	7	161403	4	0	0	0	0	21	0
154	4	070001	4	0	0	0	0	21	0
155	5	176020	28673	0	0	0	0	21	0
156	6	000004	28673	0	0	0	0	21	0
157	7	161403	4	0	0	0	0	21	0
158	4	070001	4	0	0	0	0	21	0
159	5	176020	28673	0	0	0	0	21	0
160	6	000004	28673	-32768	0	0	0	21	0
