T	PC	instr.	A	D	R0/SP	R1/LCL	R2/ARG	R3/THIS	R4/THAT
0	0	000024	0	0	0	0	0	0	0
1	1	165207	20	0	0	0	0	0	0
2	20	000110	20	0	0	0	0	0	0
3	21	166020	72	0	0	0	0	0	0
4	22	000004	72	72	0	0	0	0	0
5	23	161410	4	72	0	0	0	0	0
6	24	000036	4	72	0	0	0	0	72
7	25	166020	30	72	0	0	0	0	72
8	26	000003	30	30	0	0	0	0	72
9	27	161410	3	30	0	0	0	0	72
10	28	000002	3	30	0	0	0	30	72
11	29	165207	2	30	0	0	0	30	72
12	2	070003	2	30	0	0	0	30	72
13	3	176020	28675	30	0	0	0	30	72
14	4	000002	28675	-32768	0	0	0	30	72
15	5	161403	2	-32768	0	0	0	30	72
16	6	040000	2	-32768	0	0	0	30	72
17	7	160020	16384	-32768	0	0	0	30	72
18	8	000015	16384	0	0	0	0	30	72
19	9	161402	13	0	0	0	0	30	72
20	13	000004	13	0	0	0	0	30	72
21	14	176020	4	0	0	0	0	30	72
22	15	070002	4	72	0	0	0	30	72
23	16	161410	28674	72	0	0	0	30	72
24	17	000003	28674	72	0	0	0	30	72
25	18	176040	3	72	0	0	0	30	72
26	19	165207	30	72	0	0	0	30	72
27	30	000151	30	72	0	0	0	30	72
28	31	166020	105	72	0	0	0	30	72
29	32	000004	105	105	0	0	0	30	72
30	33	161410	4	105	0	0	0	30	72
31	34	000050	4	105	0	0	0	30	105
32	35	166020	40	105	0	0	0	30	105
33	36	000003	40	40	0	0	0	30	105
34	37	161410	3	40	0	0	0	30	105
35	38	000002	3	40	0	0	0	40	105
36	39	165207	2	40	0	0	0	40	105
37	2	070003	2	40	0	0	0	40	105
38	3	176020	28675	40	0	0	0	40	105
39	4	000002	28675	0	0	0	0	40	105
40	5	161403	2	0	0	0	0	40	105
41	2	070003	2	0	0	0	0	40	105
42	3	176020	28675	0	0	0	0	40	105
43	4	000002	28675	0	0	0	0	40	105
44	5	161403	2	0	0	0	0	40	105
45	2	070003	2	0	0	0	0	40	105
46	3	176020	28675	0	0	0	0	40	105
47	4	000002	28675	0	0	0	0	40	105
48	5	161403	2	0	0	0	0	40	105
49	2	070003	2	0	0	0	0	40	105
50	3	176020	28675	0	0	0	0	40	105
51	4	000002	28675	0	0	0	0	40	105
52	5	161403	2	0	0	0	0	40	105
53	2	070003	2	0	0	0	0	40	105
54	3	176020	28675	0	0	0	0	40	105
55	4	000002	28675	0	0	0	0	40	105
56	5	161403	2	0	0	0	0	40	105
57	2	070003	2	0	0	0	0	40	105
58	3	176020	28675	0	0	0	0	40	105
59	4	000002	28675	0	0	0	0	40	105
60	5	161403	2	0	0	0	0	40	105
61	2	070003	2	0	0	0	0	40	105
62	3	176020	28675	0	0	0	0	40	105
63	4	000002	28675	0	0	0	0	40	105
64	5	161403	2	0	0	0	0	40	105
65	2	070003	2	0	0	0	0	40	105
66	3	176020	28675	0	0	0	0	40	105
67	4	000002	28675	0	0	0	0	40	105
68	5	161403	2	0	0	0	0	40	105
69	2	070003	2	0	0	0	0	40	105
70	3	176020	28675	0	0	0	0	40	105
71	4	000002	28675	0	0	0	0	40	105
72	5	161403	2	0	0	0	0	40	105
73	2	070003	2	0	0	0	0	40	105
74	3	176020	28675	0	0	0	0	40	105
75	4	000002	28675	0	0	0	0	40	105
76	5	161403	2	0	0	0	0	40	105
77	2	070003	2	0	0	0	0	40	105
78	3	176020	28675	0	0	0	0	40	105
79	4	000002	28675	0	0	0	0	40	105
80	5	161403	2	0	0	0	0	40	105
81	2	070003	2	0	0	0	0	40	105
82	3	176020	28675	0	0	0	0	40	105
83	4	000002	28675	0	0	0	0	40	105
84	5	161403	2	0	0	0	0	40	105
85	2	070003	2	0	0	0	0	40	105
86	3	176020	28675	0	0	0	0	40	105
87	4	000002	28675	0	0	0	0	40	105
88	5	161403	2	0	0	0	0	40	105
89	2	070003	2	0	0	0	0	40	105
90	3	176020	28675	0	0	0	0	40	105
91	4	000002	28675	0	0	0	0	40	105
92	5	161403	2	0	0	0	0	40	105
93	2	070003	2	0	0	0	0	40	105
94	3	176020	28675	0	0	0	0	40	105
95	4	000002	28675	0	0	0	0	40	105
96	5	161403	2	0	0	0	0	40	105
97	2	070003	2	0	0	0	0	40	105
98	3	176020	28675	0	0	0	0	40	105
99	4	000002	28675	0	0	0	0	40	105
100	5	161403	2	0	0	0	0	40	105
101	2	070003	2	0	0	0	0	40	105
102	3	176020	28675	0	0	0	0	40	105
103	4	000002	28675	0	0	0	0	40	105
104	5	161403	2	0	0	0	0	40	105
105	2	070003	2	0	0	0	0	40	105
106	3	176020	28675	0	0	0	0	40	105
107	4	000002	28675	0	0	0	0	40	105
108	5	161403	2	0	0	0	0	40	105
109	2	070003	2	0	0	0	0	40	105
110	3	176020	28675	0	0	0	0	40	105
111	4	000002	28675	0	0	0	0	40	105
112	5	161403	2	0	0	0	0	40	105
113	2	070003	2	0	0	0	0	40	105
114	3	176020	28675	0	0	0	0	40	105
115	4	000002	28675	0	0	0	0	40	105
116	5	161403	2	0	0	0	0	40	105
117	2	070003	2	0	0	0	0	40	105
118	3	176020	28675	0	0	0	0	40	105
119	4	000002	28675	0	0	0	0	40	105
120	5	161403	2	0	0	0	0	40	105
121	2	070003	2	0	0	0	0	40	105
122	3	176020	28675	0	0	0	0	40	105
123	4	000002	28675	0	0	0	0	40	105
124	5	161403	2	0	0	0	0	40	105
125	2	070003	2	0	0	0	0	40	105
126	3	176020	28675	0	0	0	0	40	105
127	4	000002	28675	0	0	0	0	40	105
128	5	161403	2	0	0	0	0	40	105
129	2	070003	2	0	0	0	0	40	105
130	3	176020	28675	0	0	0	0	40	105
131	4	000002	28675	0	0	0	0	40	105
132	5	161403	2	0	0	0	0	40	105
133	2	070003	2	0	0	0	0	40	105
134	3	176020	28675	0	0	0	0	40	105
135	4	000002	28675	0	0	0	0	40	105
136	5	161403	2	0	0	0	0	40	105
137	2	070003	2	0	0	0	0	40	105
138	3	176020	28675	0	0	0	0	40	105
139	4	000002	28675	0	0	0	0	40	105
140	5	161403	2	0	0	0	0	40	105
141	2	070003	2	0	0	0	0	40	105
142	3	176020	28675	0	0	0	0	40	105
143	4	000002	28675	0	0	0	0	40	105
144	5	161403	2	0	0	0	0	40	105
145	2	070003	2	0	0	0	0	40	105
146	3	176020	28675	0	0	0	0	40	105
147	4	000002	28675	0	0	0	0	40	105
148	5	161403	2	0	0	0	0	40	105
149	2	070003	2	0	0	0	0	40	105
150	3	176020	28675	0	0	0	0	40	105
151	4	000002	28675	0	0	0	0	40	105
152	5	161403	2	0	0	0	0	40	105
153	2	070003	2	0	0	0	0	40	105
154	3	176020	28675	0	0	0	0	40	105
155	4	000002	28675	0	0	0	0	40	105
156	5	161403	2	0	0	0	0	40	105
157	2	070003	2	0	0	0	0	40	105
158	3	176020	28675	0	0	0	0	40	105
159	4	000002	28675	0	0	0	0	40	105
160	5	161403	2	0	0	0	0	40	105
161	2	070003	2	0	0	0	0	40	105
162	3	176020	28675	0	0	0	0	40	105
163	4	000002	28675	0	0	0	0	40	105
164	5	161403	2	0	0	0	0	40	105
165	2	070003	2	0	0	0	0	40	105
166	3	176020	28675	0	0	0	0	40	105
167	4	000002	28675	0	0	0	0	40	105
168	5	161403	2	0	0	0	0	40	105
169	2	070003	2	0	0	0	0	40	105
170	3	176020	28675	0	0	0	0	40	105
171	4	000002	28675	0	0	0	0	40	105
172	5	161403	2	0	0	0	0	40	105
173	2	070003	2	0	0	0	0	40	105
174	3	176020	28675	0	0	0	0	40	105
175	4	000002	28675	-32768	0	0	0	40	105
176	5	161403	2	-32768	0	0	0	40	105
177	6	040000	2	-32768	0	0	0	40	105
178	7	160020	16384	-32768	0	0	0	40	105
179	8	000015	16384	0	0	0	0	40	105
180	9	161402	13	0	0	0	0	40	105
181	13	000004	13	0	0	0	0	40	105
182	14	176020	4	0	0	0	0	40	105
183	15	070002	4	105	0	0	0	40	105
184	16	161410	28674	105	0	0	0	40	105
185	17	000003	28674	105	0	0	0	40	105
186	18	176040	3	105	0	0	0	40	105
187	19	165207	40	105	0	0	0	40	105
188	40	000012	40	105	0	0	0	40	105
189	41	166020	10	105	0	0	0	40	105
190	42	000004	10	10	0	0	0	40	105
191	43	161410	4	10	0	0	0	40	105
192	44	000062	4	10	0	0	0	40	10
193	45	166020	50	10	0	0	0	40	10
194	46	000003	50	50	0	0	0	40	10
195	47	161410	3	50	0	0	0	40	10
196	48	000002	3	50	0	0	0	50	10
197	49	165207	2	50	0	0	0	50	10
198	2	070003	2	50	0	0	0	50	10
199	3	176020	28675	50	0	0	0	50	10
200	4	000002	28675	0	0	0	0	50	10
201	5	161403	2	0	0	0	0	50	10
202	2	070003	2	0	0	0	0	50	10
203	3	176020	28675	0	0	0	0	50	10
204	4	000002	28675	0	0	0	0	50	10
205	5	161403	2	0	0	0	0	50	10
206	2	070003	2	0	0	0	0	50	10
207	3	176020	28675	0	0	0	0	50	10
208	4	000002	28675	0	0	0	0	50	10
209	5	161403	2	0	0	0	0	50	10
210	2	070003	2	0	0	0	0	50	10
211	3	176020	28675	0	0	0	0	50	10
212	4	000002	28675	0	0	0	0	50	10
213	5	161403	2	0	0	0	0	50	10
214	2	070003	2	0	0	0	0	50	10
215	3	176020	28675	0	0	0	0	50	10
216	4	000002	28675	0	0	0	0	50	10
217	5	161403	2	0	0	0	0	50	10
218	2	070003	2	0	0	0	0	50	10
219	3	176020	28675	0	0	0	0	50	10
220	4	000002	28675	0	0	0	0	50	10
221	5	161403	2	0	0	0	0	50	10
222	2	070003	2	0	0	0	0	50	10
223	3	176020	28675	0	0	0	0	50	10
224	4	000002	28675	0	0	0	0	50	10
225	5	161403	2	0	0	0	0	50	10
226	2	070003	2	0	0	0	0	50	10
227	3	176020	28675	0	0	0	0	50	10
228	4	000002	28675	0	0	0	0	50	10
229	5	161403	2	0	0	0	0	50	10
230	2	070003	2	0	0	0	0	50	10
231	3	176020	28675	0	0	0	0	50	10
232	4	000002	28675	0	0	0	0	50	10
233	5	161403	2	0	0	0	0	50	10
234	2	070003	2	0	0	0	0	50	10
235	3	176020	28675	0	0	0	0	50	10
236	4	000002	28675	0	0	0	0	50	10
237	5	161403	2	0	0	0	0	50	10
238	2	070003	2	0	0	0	0	50	10
239	3	176020	28675	0	0	0	0	50	10
240	4	000002	28675	0	0	0	0	50	10
241	5	161403	2	0	0	0	0	50	10
242	2	070003	2	0	0	0	0	50	10
243	3	176020	28675	0	0	0	0	50	10
244	4	000002	28675	0	0	0	0	50	10
245	5	161403	2	0	0	0	0	50	10
246	2	070003	2	0	0	0	0	50	10
247	3	176020	28675	0	0	0	0	50	10
248	4	000002	28675	0	0	0	0	50	10
249	5	161403	2	0	0	0	0	50	10
250	2	070003	2	0	0	0	0	50	10
251	3	176020	28675	0	0	0	0	50	10
252	4	000002	28675	0	0	0	0	50	10
253	5	161403	2	0	0	0	0	50	10
254	2	070003	2	0	0	0	0	50	10
255	3	176020	28675	0	0	0	0	50	10
256	4	000002	28675	0	0	0	0	50	10
