T	PC	instr.	A	D	R0/SP	R1/LCL	R2/ARG	R3/THIS	R4/THAT
0	0	000015	0	0	0	0	0	0	0
1	1	166020	13	0	0	0	0	0	0
2	2	000000	13	13	0	0	0	0	0
3	3	171410	0	13	0	0	0	0	0
4	4	000021	0	13	13	0	0	0	0
5	5	166020	17	13	13	0	0	0	0
6	6	000001	17	17	13	0	0	0	0
7	7	171410	1	17	13	0	0	0	0
8	8	000000	1	17	13	17	0	0	0
9	9	176020	0	17	13	17	0	0	0
10	10	000001	0	13	13	17	0	0	0
11	11	172320	1	13	13	17	0	0	0
12	12	000022	1	-4	13	17	0	0	0
13	13	161401	18	-4	13	17	0	0	0
14	14	000001	18	-4	13	17	0	0	0
15	15	176020	1	-4	13	17	0	0	0
16	16	000024	1	17	13	17	0	0	0
17	17	165207	20	17	13	17	0	0	0
18	20	000002	20	17	13	17	0	0	0
19	21	161410	2	17	13	17	0	0	0
20	22	000026	2	17	13	17	17	0	0
21	23	165207	22	17	13	17	17	0	0
